Region,Country,Reported by,Year,Government (NMP),Global Fund,PMI/USAID,World Bank,UK,Other bilaterals,WHO,UNICEF,Other contributions
African,Algeria,Donors,2020,0,0,0,0,0,14,0,0,0
African,Algeria,Countries,2020,2229715,0,0,0,0,0,0,0,0
African,Algeria,Donors,2021,0,0,0,0,0,0,0,0,0
African,Algeria,Countries,2021,0,0,0,0,0,0,0,0,0
African,Algeria,Donors,2022,0,0,0,0,0,0,0,0,0
African,Algeria,Countries,2022,0,0,0,0,0,0,0,0,0
African,Angola,Donors,2020,0,6603260,21175831,0,0,54515,0,0,0
African,Angola,Countries,2020,2671884,0,22000000,0,0,0,0,0,0
African,Angola,Donors,2021,0,2328851,20331002,0,0,0,0,0,0
African,Angola,Countries,2021,16518614,0,19000000,0,0,0,0,0,0
African,Angola,Donors,2022,0,288671,19000000,0,0,0,0,0,0
African,Angola,Countries,2022,4707227,0,19000000,0,0,0,250000,0,69779797
African,Benin,Donors,2020,0,13822172,18946796,0,0,46279,0,0,0
African,Benin,Countries,2020,232472,19234523,3267868,0,0,0,0,0,0
African,Benin,Donors,2021,0,12141226,17655870,0,0,5254,0,0,0
African,Benin,Countries,2021,1578967,6969348,13915191,0,0,0,65372,0,43978
African,Benin,Donors,2022,0,24516992,17000000,0,0,5254,0,0,0
African,Benin,Countries,2022,1999638,28650814,1093169,0,0,0,16643,0,595757
African,Botswana,Donors,2020,0,148693,0,0,0,14841,0,0,0
African,Botswana,Countries,2020,2438179,0,0,0,0,0,0,0,0
African,Botswana,Donors,2021,0,347610,0,0,0,0,0,0,0
African,Botswana,Countries,2021,1821010,0,0,0,0,0,0,0,0
African,Botswana,Donors,2022,0,4288,0,0,0,0,0,0,0
African,Botswana,Countries,2022,3144250,0,0,0,0,0,0,0,405890
African,Burkina Faso,Donors,2020,0,43294285,28977453,1539447,0,40630,0,0,0
African,Burkina Faso,Countries,2020,61427632,27553483,18844577,42623,0,0,52206,333334,8289677
African,Burkina Faso,Donors,2021,0,66757381,29426451,0,0,402245,0,0,0
African,Burkina Faso,Countries,2021,50006218,23061297,14739304,0,0,0,17066,331713,7443864
African,Burkina Faso,Donors,2022,0,103016907,26000000,0,0,402245,0,0,0
African,Burkina Faso,Countries,2022,98492016,74798345,17181246,0,0,0,17677,153483,5382660
African,Burundi,Donors,2020,0,23160859,8916139,0,0,36780,0,0,0
African,Burundi,Countries,2020,10947,986489,0,0,0,0,11959,75337,0
African,Burundi,Donors,2021,0,34574830,8025396,0,0,0,0,0,0
African,Burundi,Countries,2021,2562822,532091,0,0,0,0,185887,82603,0
African,Burundi,Donors,2022,0,43024688,11000000,0,0,0,0,0,0
African,Burundi,Countries,2022,1700443,5375225,0,0,0,0,421394,0,0
African,Cabo Verde,Donors,2020,0,0,0,0,0,11031,0,0,0
African,Cabo Verde,Countries,2020,674801,182196,0,0,0,0,11497,0,0
African,Cabo Verde,Donors,2021,0,0,0,0,0,0,0,0,0
African,Cabo Verde,Countries,2021,881513,305597,0,0,0,0,7747,0,841304
African,Cabo Verde,Donors,2022,0,0,0,0,0,0,0,0,0
African,Cabo Verde,Countries,2022,823803,647502,0,0,0,0,7747,0,0
African,Cameroon,Donors,2020,0,16596499,26191159,0,163070,74864,0,0,0
African,Cameroon,Countries,2020,48718775,24499314,27157756,0,0,0,0,0,0
African,Cameroon,Donors,2021,0,19899167,24076187,0,248668,49904,0,0,0
African,Cameroon,Countries,2021,47265771,27717241,22434482,0,0,0,0,0,0
African,Cameroon,Donors,2022,0,57573515,23500000,0,0,49904,0,0,0
African,Cameroon,Countries,2022,1049869,55882390,22000000,0,0,0,0,0,23520
African,Central African Republic,Donors,2020,0,15622441,0,0,0,101831,0,0,0
African,Central African Republic,Countries,2020,184955,15452952,0,0,0,0,50000,0,1273044
African,Central African Republic,Donors,2021,0,19395525,0,0,0,0,0,0,0
African,Central African Republic,Countries,2021,55600,15068,0,0,0,0,20000,0,0
African,Central African Republic,Donors,2022,0,20639094,0,0,0,0,0,0,0
African,Central African Republic,Countries,2022,55078,1162730,0,0,0,0,30000,0,50000
African,Chad,Donors,2020,0,14678888,0,0,0,211026,0,0,0
African,Chad,Countries,2020,0,0,0,0,0,0,0,0,0
African,Chad,Donors,2021,0,23264426,0,0,0,163408,0,0,0
African,Chad,Countries,2021,0,0,0,0,0,0,0,0,0
African,Chad,Donors,2022,0,43209630,0,0,0,163408,0,0,0
African,Chad,Countries,2022,0,0,0,0,0,0,0,0,0
African,Comoros,Donors,2020,0,2147704,0,0,0,36068,0,0,0
African,Comoros,Countries,2020,53800,1968573,0,0,0,0,0,1932,0
African,Comoros,Donors,2021,0,1256457,0,0,0,0,0,0,0
African,Comoros,Countries,2021,344560,1658731,0,0,0,38604,15627,0,0
African,Comoros,Donors,2022,0,2160399,0,0,0,0,0,0,0
African,Comoros,Countries,2022,322003,1691163,0,0,0,0,39828,0,0
African,Congo,Donors,2020,0,5749687,0,0,0,31140,0,0,0
African,Congo,Countries,2020,20144969,12660948,7200,0,0,0,0,0,15000
African,Congo,Donors,2021,0,5077624,0,0,0,0,0,0,0
African,Congo,Countries,2021,2261436,0,0,0,0,0,0,0,0
African,Congo,Donors,2022,0,17850394,0,0,0,0,0,0,0
African,Congo,Countries,2022,2323703,0,0,0,0,0,0,0,0
African,Côte d'Ivoire,Donors,2020,0,50489128,27862935,0,0,68580,0,0,0
African,Côte d'Ivoire,Countries,2020,19415751,33908462,25000000,0,0,0,0,0,0
African,Côte d'Ivoire,Donors,2021,0,42348291,26751319,0,0,268583,0,0,0
African,Côte d'Ivoire,Countries,2021,14897040,22074036,25000000,0,0,0,8211,5076318,0
African,Côte d'Ivoire,Donors,2022,0,20510663,25000000,0,0,268583,0,0,0
African,Côte d'Ivoire,Countries,2022,17156396,12137877,25000000,0,0,0,0,0,0
African,Democratic Republic of the Congo,Donors,2020,0,169101074,61298457,0,1972006,51189,0,0,0
African,Democratic Republic of the Congo,Countries,2020,1590685,141146584,39293479,0,0,0,412688,0,32000000
African,Democratic Republic of the Congo,Donors,2021,0,143878029,58317875,0,326161,0,0,0,0
African,Democratic Republic of the Congo,Countries,2021,1527223,104336236,70289620,0,0,0,328000,0,32000000
African,Democratic Republic of the Congo,Donors,2022,0,206800868,54500000,0,425321,0,0,0,0
African,Democratic Republic of the Congo,Countries,2022,44001352,183964842,47407407,0,0,0,350534,0,33641000
African,Equatorial Guinea,Donors,2020,0,0,0,0,0,41344,0,0,0
African,Equatorial Guinea,Countries,2020,3588201,0,0,0,0,0,0,0,0
African,Equatorial Guinea,Donors,2021,0,0,0,0,0,0,0,0,0
African,Equatorial Guinea,Countries,2021,3445046,0,0,0,0,0,0,0,0
African,Equatorial Guinea,Donors,2022,0,0,0,0,0,0,0,0,0
African,Equatorial Guinea,Countries,2022,3516624,0,0,0,0,0,0,0,0
African,Eritrea,Donors,2020,0,4975427,0,0,0,1585,0,0,0
African,Eritrea,Countries,2020,456910,12302113,0,0,0,0,0,0,0
African,Eritrea,Donors,2021,0,4210626,0,0,0,0,0,0,0
African,Eritrea,Countries,2021,438681,3133493,0,0,0,0,0,0,0
African,Eritrea,Donors,2022,0,6538112,0,0,0,0,0,0,0
African,Eritrea,Countries,2022,447796,5353129,0,0,0,0,0,0,0
African,Eswatini,Donors,2020,0,630562,0,0,0,40429,0,0,0
African,Eswatini,Countries,2020,980998,736128,0,0,0,0,10613,0,0
African,Eswatini,Donors,2021,0,1260814,0,0,0,0,0,0,0
African,Eswatini,Countries,2021,900801,1434576,0,0,0,0,0,0,0
African,Eswatini,Donors,2022,0,1228475,0,0,0,0,0,0,0
African,Eswatini,Countries,2022,751182,1234594,0,0,0,0,0,0,0
African,Ethiopia,Donors,2020,0,16258125,40122627,0,0,37443,0,0,0
African,Ethiopia,Countries,2020,29679308,27356758,32000000,0,0,0,0,0,0
African,Ethiopia,Donors,2021,0,23136737,38521899,0,0,0,0,0,0
African,Ethiopia,Countries,2021,28738027,22014812,36000000,0,0,0,0,0,0
African,Ethiopia,Donors,2022,0,50427776,36000000,0,0,0,0,0,0
African,Ethiopia,Countries,2022,104426438,37680694,35000000,0,0,0,0,0,0
African,Gabon,Donors,2020,0,30226,0,0,0,27811,0,0,0
African,Gabon,Countries,2020,89429,0,0,0,0,0,2000,0,6000
African,Gabon,Donors,2021,0,0,0,0,0,0,0,0,0
African,Gabon,Countries,2021,336394,0,0,0,0,44064,24141,15195,0
African,Gabon,Donors,2022,0,0,0,0,0,0,0,0,0
African,Gabon,Countries,2022,776723,59006,0,0,0,0,55748,0,35000
African,Gambia,Donors,2020,0,6259640,0,0,0,9322,0,0,0
African,Gambia,Countries,2020,1029015,0,0,0,0,0,0,0,0
African,Gambia,Donors,2021,0,12725069,0,0,0,0,0,0,0
African,Gambia,Countries,2021,1177642,15802151,0,0,0,0,0,0,0
African,Gambia,Donors,2022,0,9847591,0,0,0,0,0,0,0
African,Gambia,Countries,2022,1100546,7225542,0,0,0,0,0,0,0
African,Ghana,Donors,2020,0,40612640,31206487,0,821934,48696,0,0,0
African,Ghana,Countries,2020,12716796,60415856,28000000,0,0,0,300000,0,0
African,Ghana,Donors,2021,0,57828600,29961477,0,233781,0,0,0,0
African,Ghana,Countries,2021,12819920,35593618,28000000,0,0,0,300000,0,0
African,Ghana,Donors,2022,0,39989156,28000000,0,36956,0,0,0,0
African,Ghana,Countries,2022,185673179,31270091,28000000,0,0,0,300000,0,0
African,Guinea,Donors,2020,0,17704384,17832279,259985,0,25006,0,0,0
African,Guinea,Countries,2020,4905824,0,15000000,0,0,0,0,0,0
African,Guinea,Donors,2021,0,38261447,16050791,0,0,0,0,0,0
African,Guinea,Countries,2021,8820310,0,15000000,0,0,0,0,0,0
African,Guinea,Donors,2022,0,24710638,17000000,0,0,0,0,0,0
African,Guinea,Countries,2022,7962947,35327716,15000000,0,0,0,185000,0,8321822
African,GuineaBissau,Donors,2020,0,22407184,0,0,0,967,0,0,0
African,GuineaBissau,Countries,2020,0,30119831,0,0,0,0,0,0,0
African,GuineaBissau,Donors,2021,0,2410409,0,0,0,0,0,0,0
African,GuineaBissau,Countries,2021,0,4499347,0,0,0,0,0,0,0
African,GuineaBissau,Donors,2022,0,5208590,0,0,0,0,0,0,0
African,GuineaBissau,Countries,2022,0,4499347,0,0,0,0,0,0,0
African,Kenya,Donors,2020,0,18271373,37336333,0,271505,304805,0,0,0
African,Kenya,Countries,2020,6667287,48427650,35000000,0,0,0,0,0,0
African,Kenya,Donors,2021,0,28871917,35846767,0,124184,710716,0,0,0
African,Kenya,Countries,2021,5322008,0,33500000,0,0,0,0,0,0
African,Kenya,Donors,2022,0,15776452,33500000,0,0,710716,0,0,0
African,Kenya,Countries,2022,10706063,31121864,33500000,0,0,0,0,0,0
African,Liberia,Donors,2020,0,10314435,15603244,0,0,94556,0,0,0
African,Liberia,Countries,2020,22133945,0,0,0,0,0,0,0,0
African,Liberia,Donors,2021,0,21895302,14980739,0,0,58290,0,0,0
African,Liberia,Countries,2021,21250892,0,0,0,0,0,0,0,0
African,Liberia,Donors,2022,0,8613584,15000000,0,0,58290,0,0,0
African,Liberia,Countries,2022,21692419,0,0,0,0,0,0,0,0
African,Madagascar,Donors,2020,0,37432974,28977453,0,0,69867,0,0,0
African,Madagascar,Countries,2020,8212,17500000,26000000,0,0,0,40000,0,0
