Region,Year,Population,cases_lower,cases_point,cases_upper,deaths_lower,deaths_point,deaths_upper
African,2000,566541740,194000000,209203431,227000000,785000,808092,839000
African,2001,582446660,196000000,214074449,235000000,791000,818667,856000
African,2002,598937190,195000000,213106821,233000000,764000,789749,825000
African,2003,615967580,199000000,216467373,236000000,736000,761484,798000
African,2004,633618001,198000000,215899353,242000000,726000,754228,807000
African,2005,651866078,196000000,213118792,235000000,690000,715077,757000
African,2006,670719418,196000000,212541851,235000000,699000,726428,767000
African,2007,690210022,194000000,210732997,232000000,681000,707096,744000
African,2008,710329157,195000000,210133476,229000000,646000,669333,702000
African,2009,731052709,198000000,214917556,236000000,649000,676630,719000
African,2010,752483002,199000000,216263679,238000000,623000,652409,700000
African,2011,774632776,198000000,214144253,234000000,595000,621458,659000
African,2012,797177551,197000000,213091674,231000000,554000,580291,617000
African,2013,820127488,196000000,212064242,230000000,530000,558257,599000
African,2014,843365783,190000000,210243818,233000000,520000,553047,606000
African,2015,866950179,192000000,211229089,233000000,517000,550789,608000
African,2016,891196712,193000000,210910231,231000000,512000,544886,601000
African,2017,915840445,201000000,219185465,240000000,515000,547952,611000
African,2018,940840305,198000000,216241989,237000000,520000,555492,630000
African,2019,966465940,198000000,218012794,240000000,513000,551917,636000
African,2020,992736767,207000000,229843420,257000000,561000,604391,721000
African,2021,1019238524,207000000,230218321,259000000,542000,583738,700000
African,2022,1045969921,209000000,232847558,261000000,538000,580479,710000
Americas,2000,117836707,1389000,1539593,1702000,714,850,1049
Americas,2001,119768650,1170000,1296757,1432000,670,806,1006
Americas,2002,121669122,1076000,1182832,1299000,593,732,938
Americas,2003,123531350,1065000,1159333,1259000,569,709,918
Americas,2004,125366683,1068000,1146570,1237000,540,686,892
Americas,2005,127189449,1201000,1273211,1357000,515,659,877
Americas,2006,128992583,1031000,1097170,1174000,423,563,777
Americas,2007,130776090,907000,988539,1072000,371,496,682
Americas,2008,132532821,643000,696347,761000,316,461,688
Americas,2009,134271205,634000,687600,753000,310,452,677
Americas,2010,135980052,743000,818245,902000,344,492,715
