shapeISO,cases
NG-AB,1271000
NG-FC,1438000
NG-AD,1339000
NG-AK,1935000
NG-AN,1262000
NG-BA,3039000
NG-BY,673000
NG-BE,1704000
NG-BO,1987000
NG-CR,1283000
NG-DE,1598000
NG-EB,1046000
NG-ED,1191000
NG-EK,1230000
NG-EN,1177000
NG-GO,1363000
NG-IM,1734000
NG-JI,2559000
NG-KD,3636000
NG-KN,6088000
NG-KT,3157000
NG-KE,2074000
NG-KO,1558000
NG-KW,1150000
NG-LA,2556000
NG-NA,798000
NG-NI,2174000
NG-OG,1709000
NG-ON,1639000
NG-OS,1789000
NG-OY,2869000
NG-PL,1370000
NG-RI,1954000
NG-SO,1778000
NG-TA,1047000
NG-YO,1119000
NG-ZA,1669000
